,Unnamed: 0,Unnamed: 0.1,cell_x,cell_y,death_time
11,11,11,1151.593256814921,511.5473457675753,45
12,12,12,1196.3565279770446,204.17288378766148,45
13,13,13,145.91176470588238,493.642037302726,60
14,14,14,195.1513629842181,513.0394548063127,60
15,15,15,1072.5114777618364,474.2446197991392,60
16,16,16,80.25896700143474,469.7682926829268,75
17,17,17,117.56169296987092,448.87876614060247,75
18,18,18,183.2144906743185,474.2446197991392,75
19,19,19,239.91463414634148,504.086800573888,75
20,20,20,260.8041606886657,587.644906743185,75
21,21,21,213.0566714490675,699.5530846484934,75
22,22,22,1053.1140602582498,422.0208034433285,75
23,23,23,1096.3852223816357,466.7840746054519,75
24,24,24,1103.8457675753227,425.0050215208034,75
25,25,25,136.9591104734577,283.25466284074605,90
26,26,26,63.845767575322846,442.9103299856528,90
27,27,27,296.6147776183644,565.2632711621234,90
28,28,28,290.6463414634147,621.9634146341463,90
29,29,29,192.1671449067432,648.8213773314203,90
30,30,30,921.8084648493544,348.9074605451937,90
31,31,31,956.1269727403156,353.383787661406,90
32,32,32,978.5086083213772,408.59182209469145,90
33,33,33,1017.3034433285508,387.7022955523672,90
34,34,34,165.30918220946916,626.4397417503586,105
35,35,35,232.4540889526543,623.4555236728837,105
36,36,36,888.9820659971305,325.0337159253945,105
37,37,37,1118.7668579626973,463.799856527977,105
38,38,38,336.9017216642755,556.3106169296988,120
39,39,39,1057.590387374462,34.07245337159259,120
40,40,40,1057.590387374462,86.29626972740324,120
41,41,41,1020.2876614060256,74.3593974175036,120
42,42,42,980.0007173601148,147.47274031563848,120
43,43,43,945.6822094691532,174.33070301291252,120
44,44,44,982.9849354375896,187.7596843615495,120
45,45,45,950.1585365853656,210.1413199426112,120
46,46,46,853.1714490674318,298.17575322812047,120
47,47,47,902.4110473457677,301.1599713055954,120
48,48,48,966.5717360114776,436.94189383070295,120
49,49,49,957.6190817790532,486.1814921090387,120
50,50,50,899.4268292682927,472.75251076040166,120
51,51,51,978.5086083213772,568.2474892395983,120
52,52,52,1012.8271162123384,563.7711621233858,120
53,53,53,950.1585365853656,610.0265423242466,120
54,54,54,951.6506456241028,642.8529411764705,120
55,55,55,914.3479196556668,705.5215208034433,120
56,56,56,1139.6563845050216,66.89885222381645,135
57,57,57,1003.8744619799136,630.9160688665709,135
58,58,58,1160.5459110473455,77.34361549497851,150
59,59,59,990.4454806312772,598.0896700143471,150
